"Country","Deaths/1M","Top_Deaths","Tests/1M","Top_Tests"
"Martinique","43","84","32,586.00","112","Martinique"
"Mauritania","34","92","14,762.00","138","Mauritania"
"Mauritius","8","140","161,379.00","32","Mauritius"
"Mayotte","143","41","47,502.00","89","Mayotte"
"Mexico","453","13","9,383.00","153","Mexico"
"Moldova","228","29","45,609.00","93","Moldova"
"Monaco","102","52","1,322,632.00","3","Monaco"
"Mongolia","0","190","14,103.00","139","Mongolia"
"Montenegro","129","44","70,404.00","68","Montenegro"
"Montserrat","200","31","12,220.00","145","Montserrat"
"Morocco","21","110","45,187.00","94","Morocco"
"Mozambique","0.6","181","2,623.00","178","Mozambique"
"Myanmar","0.1","188","2,590.00","179","Myanmar"
"Namibia","16","121","17,960.00","131","Namibia"
"Nepal","4","161","30,083.00","116","Nepal"
"Netherlands","361","17","76,591.00","63","Netherlands"
"New Caledonia","0","190","41,410.00","99","New Caledonia"
"New Zealand","4","161","131,446.00","38","New Zealand"
"Nicaragua","20","111","0","196","Nicaragua"
"Niger","3","168","372","193","Niger"
"Nigeria","5","154","1,705.00","185","Nigeria"
"North Macedonia","266","24","63,596.00","75","North Macedonia"
"Norway","49","81","108,447.00","49","Norway"
"Oman","119","46","60,353.00","79","Oman"
"Pakistan","28","99","10,673.00","148","Pakistan"
"Palestine","23","106","41,991.00","98","Palestine"
"Panama","426","14","66,445.00","69","Panama"
"Papua New Guinea","0.4","183","1,610.00","187","Papua New Guinea"
"Paraguay","24","103","23,250.00","125","Paraguay"
"Peru","818","3","86,336.00","58","Peru"
"Philippines","26","100","19,981.00","129","Philippines"
"Poland","51","77","63,672.00","74","Poland"
"Portugal","175","34","184,473.00","26","Portugal"
"Qatar","69","64","203,815.00","23","Qatar"
"Romania","164","35","82,783.00","60","Romania"
"Russia","110","49","229,541.00","17","Russia"
"Rwanda","0.8","179","27,042.00","118","Rwanda"
"Réunion","6","147","39,521.00","104","Réunion"
"S. Korea","6","147","33,819.00","111","S. Korea"
"Saint Kitts and Nevis","0","190","26,009.00","120","Saint Kitts and Nevis"
"Saint Lucia","0","190","26,918.00","119","Saint Lucia"
"Saint Martin","129","44","63,193.00","76","Saint Martin"
"Saint Pierre Miquelon","0","190","0","196","Saint Pierre Miquelon"
"San Marino","1,237.00","1","191,833.00","24","San Marino"
"Sao Tome and Principe","68","65","15,621.00","137","Sao Tome and Principe"
"Saudi Arabia","102","52","129,021.00","39","Saudi Arabia"
